date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012@01@11 | 5        
2012-13-01 | 2        
2012-01-32 | 2        
2012-02-30 | 1        
2012-02-29 | 1        
2100-02-29 | 1        
2000-02-29 | 1        
0000-01-01 | 1        
9999-12-31 | 1        
2012-01-11 | abc      
2012-01-11 | 1,000    
2012-01-11 | 1.2.3    
2012-01-11 | +2.5     
2012-01-11 | 1000000  
2012-01-11 | 0.000001 
2012-01-11            
| 5                   
2012-01-11 |          
 | 5                  
2012-01-11 | 5 extra  
   2012-01-11 | 5     
2012-01-11   |   5    
